conjunto,c
AB,0.1778279410038923
AC,0.03162277660168379
AD,1.0
AE,1.0
AF,0.1778279410038923
AG,0.1778279410038923
AH,1.0
BC,0.005623413251903491
BD,1.0
BE,0.1778279410038923
BF,0.03162277660168379
BG,0.1778279410038923
BH,0.1778279410038923
CD,1.0
CE,1.0
CF,0.1778279410038923
CG,0.1778279410038923
CH,0.1778279410038923
DE,1.0
DF,1.0
DG,5.623413251903491
DH,1.0
EF,1.0
EG,1.0
EH,1.0
FG,0.1778279410038923
FH,0.1778279410038923
GERAL,0.03162277660168379
